Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
D___131,0.031362725,0,0,0,0.022545331,0.02520773,0.008584051,0,0,0,0.043669055,0,0,0,0,0,0,0,0,0,0,0.87,0,0.643488785,0.916205663
BN___4,0,0.013775537,0.001872086,0,0.040390379,0,0.021007918,0.007450337,0,0.006092987,0,0.000756051,0,0,0,0.027130276,0.001346298,0.006896929,0.00484054,0,0,0.87,0,0.752832189,0.769273118
D___134,0.028154903,0,0,1.41165704794527e-05,0.011409056,0.023947143,0.016307274,0,0,0,0.037826901,0,0,0,0,0,0,0,0.014305572,0,0,0.87,0,0.598694482,0.969083512
D_M__80,0.034644299,0,0,0,0.043632694,0,0.012069578,0,0,0.007480147,0.005758495,0,0,0,0,0.013598447,0,0,0.016845356,0,0,0.87,0,0.758570402,0.759165527
D_M__77,0,0,0,0,0.025968996,0,0.00819176,0,0,0,0.025944954,0,0,0.005160031,0,0,0,0,0.026364518,0,0.042933676,0.87,0,0.821625892,0.662907592
D___129,0.007637175,0.000449965,0,0,0.003301352,0.015392915,0,0.02457275,0,0.012658406,0,0,0,0.072098877,0.001012248,0,0,0,0,0,0,0.86,0.001,0.419522158,1.165585159
D___137,0,0.009121886,0,0,0.010415861,0.04373578,0.01543325,0.015619119,0,0.015671153,0,0.003840061,0,0,0,0,0,0.006454816,0.019048107,0,0,0.86,0,0.879761462,0.545220235
BN___23,0.015566206,0,0,0,0.064787625,0,0.002930669,0,0,0.017596033,0.010780588,0,0,0,0,0,0,0.008428917,0.022706716,0,0,0.86,0,0.823663442,0.649581209
BN___20,0.010722679,0,0,0,0.041192969,0.009750892,0.017168745,0.000811533,0,0.028601769,0,0.004963928,0,0,0,0,0,0.006178227,0.025491209,0,0,0.86,0,0.791734119,0.701086258
BN___7,0.000919657,0,0,0,0.039831893,0,0.025303288,0.000833308,0,0.019251057,0.025267612,0,0,0.028062804,0,0,0,0.004874656,0.000555023,0,0,0.86,0,0.737453357,0.78545667
DBN_F_O_164,0.010354577,0,0,0.008082217,0,0,0,0,0.018134125,0,0,0.050242427,0,0,0,0,0,0,0.0602836,0,0,0.85,0,0.598969129,0.959840531
BN___3,0,0.010976049,0,0,0.028018428,0,0.027717231,0.01222432,0,0.010482814,0.016688391,0,0,0,7.40332412926004e-05,0.034826707,0.002176911,0.002797798,0.001360961,0,0,0.85,0,0.776017939,0.725020786
D_F_A_66,0.015142276,0,0.001737472,0,0.054668873,0,0.023382328,0,0,0.010291691,0.028618214,0,0,0,0,0,0,0.000423804,0.013914845,0,0,0.85,0,0.763689319,0.741897084
BN___56,0.023809488,0,0,0,0.033314875,0,0,0,0,0.008196592,0,0.022190721,0.011568888,0,0,0,0,0,0.049859962,0,0,0.85,0,0.545904141,1.020322456
BN___10,0.010635006,0,0,0,0.013505869,0,0.011630798,0,0,0,0.036592513,0,0,0,0,0,0,0.007826359,0,0.008877891,0.061714459,0.85,0,0.651217405,0.901643875
BN___50,0.006016533,0,0,0,0,0.041601863,0.007656732,0,0.001030855,0,0.051023885,0,0,0,0,0,0,0.007523698,0,0.036102693,0,0.85,0,0.674838219,0.865127945
D_M_A_62,0.029918384,0,0.005170673,0,0.022559727,0.05110785,0,0.001380054,0,0.009377103,0,0.009176042,0,0,0,0,0,0.011633603,0.013688532,0,0,0.85,0,0.646477605,0.896939215
BN___12,0.076452179,0,0.008295248,0,0,0.02201907,0.022681273,0,0,0,0.019065785,0,0,0.000269252,0,0,0,0,0.005387232,0,0,0.85,0,0.544946605,1.014087596
DBP_F__170,0.002621713,0.000966385,0,0,0.021321231,0,0,0.00026101,0.00884762,0,0,0.046010174,0.011679542,0,0,0,0,0.006264894,0.056470792,0,0,0.85,0,0.580062215,0.978728794
D___97,0,0.004801,0,0,0.024519445,0.070381776,0,0,0,0,0.018475617,0.002396188,0,0,0,0.013893833,0,0.00314973,0.017261617,0,0,0.85,0,0.787261202,0.702200826
BN___1,0,0.009056134,0,0,0,0.019555236,0.022841542,0.022522217,0,0.011976547,0,0.004697108,0.02593984,0,0,0,0.001541804,0.008771947,0.029917648,0,0,0.84,0,0.758794795,0.748191437
D___132,0.027427284,0,0,0,0.039370375,0.032614806,0,0,0,0,0.045336675,0,0,0,0,0,0,0.002378476,0.009763225,0,0,0.84,0,0.692498254,0.837014553
BN___18,0.004616781,0,0.008395497,0,0.04865689,0.007133964,0.01856905,0,0,0.031361499,0,0.006014119,0,0,0,0,0,0.005055011,0.028834879,0,0,0.84,0,0.788436501,0.697831412
BN___38,0.006926417,0,0.007220536,0,0,0.020290665,0.004538235,0.013311348,0,0,0.029760227,0,0,0,0.001687716,0,0.004718039,0,0.013377746,0,0.05681537,0.84,0,0.815359952,0.659892341
BN___17,0,0.007523991,0,0,0.03078443,0.023601091,0.019655394,0.005098975,0,0.024182845,0.021844791,0,0,0,0,0.006971866,0,0.012925566,0.006383385,0,0,0.84,0,0.745519011,0.762906765
BN___21,0.002429498,0,0,0,0.046630277,0,0.016238528,0,0,0.0145223,0.013003086,0,0.034829205,0,0,0,0,0.010234883,0.022343051,0,0,0.84,0,0.837793654,0.620405874
BN_M_A_44,0,0,0,0,0,0.040296737,0,0.02710057,0,0,0,0.010489716,0,0,0.001126795,0,0.004556613,0,0.018931362,0,0.058307994,0.84,0,0.763114497,0.741469796
D___93,0,0,0,0,0.065969521,0.06039474,0.005846932,0,0,0,0.030192509,0,0,0,0,0,0,0,0,0,0,0.84,0,0.742054106,0.765490863
BN_M_A_49,0.004833151,0,0,0.007350506,0.018208452,0.030907888,0,0,0.008505476,0,0.043138802,0,0,0,0,0.002203851,0,0.009721273,0,0.02864817,0.010548068,0.84,0,0.534406846,1.02159546
D_M_A_67,0.028531106,0,0.006455118,0,0.039113474,0.043782506,0.01856029,0,0,0.007267386,0.016388661,0,0,0,0,0,0,0.004046483,0,0,0,0.84,0,0.750297028,0.751802082
BN_F_O_34,0,0.005993,0,0,0.000175578,0.019948121,0.009768824,0,0,0,0.019297488,0,0,0.000350918,0,0,0,0,0.00902176,0,0.103737648,0.83,0,0.796132306,0.691956997
D___95,0,0.004488489,0,0,0.037506516,0.077677772,0.005675638,0,0,0,0.017863927,0,0,0,0,0.010240829,0,0.002141841,0.014227518,0,0,0.83,0,0.792979007,0.684322821
BN___8,0.007306663,0,0,0,0,0.018783035,0.003682106,0,0,0.0034764,0.032690231,0,0,0.017633462,0,0,0,0,0,0.004239957,0.083048888,0.83,0,0.697807813,0.833254502
BN_F_A_41,0,0,0.012225747,0.003914431,0,0.092484443,0.013805714,0.000222741,0,0,0,0.024843182,0,0,0,0,0.000337275,0.005358826,0.021037056,0,0,0.83,0,0.746317762,0.751185976
D___96,0,0,0,0,0.059856632,0.030868561,0.008527552,0,0,0,0.045407785,0,0,0,0,0,0,0.002327716,0,0.030771292,0,0.82,0,0.785392762,0.693182425
DBN_F_A_168,0.027232656,0,0,0,0.006508895,0.005743603,0,0,0.015968233,0.013800105,0,0.045871178,0,0.004481473,0,0,0,0.008516328,0.050712099,0,0,0.82,0.001,0.461248176,1.085898107
BN___5,0,0,0.009430701,0,0,0.020009655,0.019330985,0.017172815,0,0.007826567,0,0.002823236,0.068676961,0,0,0,0.002314236,0.014827346,0.01806127,0,0,0.82,0,0.780035413,0.710037018
BN___6,0,0,0.003948917,0,0,0.037528406,0.01589249,0.013769129,0,0.007481326,0,0.011876002,0.063148073,0,0,0,0,0.012577309,0.014464151,0,0,0.82,0,0.770170304,0.724281394
BN_F_Y_47,0,0,0,0,0,0.002311094,0.006364652,0.016161127,0,0,0.027890923,0,0,0,0.002256452,0,0.007902774,0,0.015952301,0,0.107952787,0.81,0,0.783654439,0.701834626
D___94,0,0.003751257,0,0,0.04541253,0.090841319,0.002593028,0,0,0,0.036542999,0,0,0,0,0.009047088,0,0.002184243,0,0,0,0.81,0,0.795342664,0.670281626
BN___2,0,0,0,0,0.011734131,0.02860282,0.019455254,0.014342387,0,0.019366272,0,0.004584445,0.061317281,0,0,0,0,0.010852134,0.024281159,0,0,0.81,0,0.75183511,0.743457552
DBN_M_Y_165,0.000126932,0,0,0,0,0.029751914,0,0.000188325,0.013396583,0,0,0.051465856,0.023491934,0.028955313,0,0,0,0,0.053692327,0,0,0.8,0,0.579042255,0.954173425
BN_M_A_45,0,0,0,0.003216707,0,0.049275437,0.002398549,0.017474768,0,0,0.012342225,0,0,0,0.00071096,0,0.003001403,0,0.023946916,0,0.089054249,0.8,0,0.792110059,0.677459057
D___92,0,0,0,0,0.088015663,0.080767866,0.003727709,0,0,0,0.014952349,0,0,0,0,0,0,0.001797793,0.014148243,0,0,0.8,0,0.764580054,0.710143217
DBN_F_A_158,0.027944224,0,0,0,0.009692461,0.002221026,0,0,0.015556445,0.015838984,0,0.052600422,0,0.011515462,0,0,0,0.008211577,0.061050606,0,0,0.8,0.001,0.454503955,1.075647677
D_M_Y_98,0.04130598,0,0.00028015,0,0.019010972,0.015614542,0.020771075,0,0,0,0.034623201,0,0.038149774,0.022170304,0,0,0,0,0.013145664,0,0,0.79,0,0.644602268,0.876554595
BN_M_A_48,0.059869678,0,0,0,0.0172905,0.05978439,0.016270103,0,0,0,0.047234305,0,0,0,0,0,0,0.007598257,0,0,0,0.79,0,0.57726968,0.943641625
D___126,0.001071886,0,0,0,0.044807593,0.040789926,0,0,0,0.003451535,0.008702533,0,0,0,0,0,0,0,0,0.118715079,0,0.78,0,0.517632029,1.008542786
BN_F_Y_46,0.021556438,0,0,0.004753878,0,0.03074157,0.007524786,0,0,0,0.038527403,0,0,0,0.001783135,0,0.008349504,0.005905549,0.014064542,0,0.08560014,0.78,0,0.844994851,0.580526687
DBN_M_A_167,0.026778319,0,0,0,0.014219193,0,0,0,0.017707019,0.016380482,0,0.034448777,0.023954503,0.028784992,0,0,0,0.0083572,0.051309846,0,0,0.78,0,0.534755349,0.988868996
DBP_F__169,0.025539815,0,0,0,0.019176644,0,0,0,0.015940575,0.016435305,0,0.037383083,0,0.060603405,0,0,0,0.007188075,0.045506249,0,0,0.77,0,0.475015765,1.044401017
BN_F_O_43,0,0,0,0,0,0.068856941,0.004803452,0,0,0.003267352,0,0.008937119,0,0.006750456,0,0,0,0,0.040585807,0,0.096700894,0.77,0,0.779351196,0.684255529
D_M_A_121,0.034931672,0,0,0,0.007182541,0.019656055,0,0,0.000373633,0,0.061611071,0,0.056422228,0,0,0,0,0,0,0.053764082,0,0.77,0,0.513616396,1.009426021
DBN_F_A_163,0,0,0,0,0.045433666,0,0,0,0.004223133,0.019999601,0,0.015709114,0.099359014,0,0,0,0,0.007292166,0.048229009,0,0,0.76,0,0.788420863,0.672215508
DBN_F_A_166,0.052286518,0,0,0,0.019386957,0,0.00241944,0.017764302,0,0.012512956,0.010944354,0,0.067668992,0.05349399,0,0,0,0.004711514,0.002585446,0,0,0.76,0,0.6460097,0.86165735
D___133,0.022176817,0,0,0.01252682,0.015921588,0.080173922,0.004232306,0,0,0,0.036929849,0,0,0.001132974,0,0,0,0,0.028702916,0,0.042259853,0.76,0,0.550292339,0.955148467
D_M_Y_122,0.003200475,0,0,0.020088178,0,0.043886527,0,0,0.002892296,0,0,0.025625504,0,0,0,0,0,0.003748909,0,0.133003576,0.018041677,0.75,0.003,0.340838017,1.158500055
D_M_A_123,0.028778376,0,0,0.012750774,0,0.10632966,0.01416082,0,0,0,0.095564024,0,0.005874248,0,0,0,0,0.000219794,0,0,0,0.74,0,0.563630688,0.929130967
BN___39,0,0,0.005080633,0.004235722,0,0.050383788,0,0,0,0,0.054286894,0,0,0,0.003964191,0,0.008344444,0,0,0.033637212,0.104034792,0.74,0,0.745158889,0.720336219
DBN_F_Y_150,0.047923718,0,0,0,0.044156265,0.016276108,0.017092122,0.018389821,0,0.030261169,0,0,0.055600235,0.03593617,0,0,0,0.008048529,0.021290355,0,0,0.71,0,0.890191265,0.468634536
D_F__87,0.015947936,0,0,0,0,0.090071784,0,0,0,0,0,0,0,0.009045512,0,0,0,0,0,0.105746167,0.079703966,0.7,0,0.574033697,0.909381286
D_M_A_119,0.033561931,0,0,0.043243781,0,0.08659023,0,0,0.00430121,0,0.042049256,0.014220551,0,0,0,0.002327039,0,0,0,0.045792031,0.044268956,0.68,0.001,0.426489391,1.035752455
D_F__83,0,6.9333538176164e-05,0,0,0.023376417,0,0.00557672,0,0,0.011809982,0.028252415,0,0.23268245,0.017629689,0,0,0,0.000145264,0,0,0,0.68,0,0.583951241,0.921645753
BN___11,0.029846494,0,0,0.069588008,0,0.070281649,0,0,0,0,0.120148505,0,0,0,0,0,0,0,0,0.031542228,0.030082411,0.65,0.002,0.346577416,1.08579317
D___89,0.008113661,0,0,0,0.032482382,0,0,0,0.012197731,0.015094182,0,0.01856894,0.010001778,0.020020105,0,0,0,0.005751249,0,0.182056871,0.054531376,0.64,0,0.508465459,0.955841786
BN___13,0.030478183,0,0,0.026296234,0,0.173055539,0,0,0,0,0.043392221,0,0,0.00641849,0,0,0,0,0.011804668,0,0.07262802,0.64,0,0.480454586,0.963476891
D_F__86,0.069591024,0,0,0,0,0.071656501,0,0,0.016230832,0,0,0,0,0.006794819,0,0,0,0.001759117,0,0.145841948,0.083874758,0.6,0,0.563066352,0.880544311
D_F_O_65,0.025285527,0,0,0,0.042669941,0.176229653,0.004419009,0,0,0,0.046264936,0,0.053768551,0.012478403,0,0,0,0.002529415,0.017263416,0,0.0502244,0.57,0,0.719826215,0.702402509
D___100,0.048537952,0,0,0.030313294,0.049714211,0.03994913,0.002938391,0,0.004005056,0,0.088301025,0,0.12490551,0.001737791,0,0,0,0,0.024596194,0,0.025141347,0.56,0,0.698630744,0.728679996
D_F__88,0.0052162,0,0.003519227,0,0.023127035,0,0,0,0.017012146,0,0,0.015260941,0,0.00908021,0,0,0,0.001998531,0,0.270155667,0.11946912,0.54,0,0.569348235,0.870757624
D_M_O_99,0.021467184,0,0,0.106874722,0.033273836,0.170553877,0,0,0,0,0.148050923,0,0.134649061,0,0,0,0,0,0.002100377,0,0.037161,0.35,0,0.651175739,0.759453164
D___127,0.033022562,0,0,0.001340384,0,0.094161826,0,0,0,0,0.022716573,0.018306489,0.136743814,0,0,0,0,0.000352583,0,0.156020801,0.209392287,0.33,0.003,0.336732616,0.994945662
D_F_A_124,0.096447295,0,0,0.011822339,0,0.134467448,0.00523754,0,0,0,0.068412271,0,0.018786795,0.018877836,0,0,0,0,0,0.048275416,0.320670237,0.28,0.002,0.354046653,0.964913088
D_F_Y_125,0.12682529,0,0,0.009024527,0,0.115713089,0,0,0,0,0,0.026931809,0,0,0,0,0,0.000372602,0,0.126243711,0.398705339,0.2,0.003,0.336087134,0.974837378
D_F__84,0.02011193,0,0,0,0.024887295,0,0,0,0,0.000508359,0.038751476,0,0.651307025,0.037923186,0,0,0,0.002359585,0,0.030470929,0,0.19,0,0.729613401,0.683469099
D_F__85,0,0,0,0,0.014973857,0.017991588,0.001608882,0,0,0,0.01989108,0,0.722277427,0.034306487,0,0,0,0.002692658,0,0,0,0.19,0,0.764185564,0.645026669
D___69,0.034542445,0,0,0.107791008,0.068611655,0.102088823,0,0,0.008811136,0,0.008401654,0.06652017,0.040713264,0,0,0,0,0.031526699,0,0.327066548,0.060447895,0.14,0.001,0.452301653,0.902925019
D___70,0.04396896,0,0,0.092438471,0.080688967,0.088692655,0,0,0.012902018,0,0.020705697,0.052875634,0.037485131,0,0,0,0,0.03318505,0,0.332858364,0.062332143,0.14,0.001,0.452497178,0.902257474
D___68,0.016084634,0,0,0.116850701,0.088788323,0.103094735,0,0,0.001852365,0,0.006952142,0.06556141,0.043442612,0,0,0,0,0.036606996,0,0.30972221,0.072677098,0.14,0.001,0.447490112,0.904308471
D_F_Y_61,0.048331919,0,0,0.011867607,0.048210565,0.136906565,0.007872089,0,0,0,0.066482882,0,0.547902972,0,0,0,0,0.000124895,0.019522851,0,0,0.11,0,0.806790107,0.623851023
D_M_A_120,0.090955611,0,0,0.086297801,0,0.088431145,0,0.004571844,0.011721242,0,0.006485921,0.072131299,0.075946437,0.005072962,0,0,0,0,0,0.18484488,0.272642658,0.1,0.005,0.294236698,0.984526308
DBN___146,0.048257971,0,0,0.039143168,0.117682288,0.262456653,0.026967011,0,0,0,0.132536137,0,0.287757029,0,0,0,0,0.001279945,0.002514886,0,0.013138964,0.07,0,0.475131379,0.879663414
BN___57,0.030130697,1.63805766852087e-05,0,0,0.031234156,0.10553615,0,0,0.005093799,0,0.073369187,0,0.689039265,0.015183085,0,0,0,0.006526955,0.013785167,0,0,0.03,0,0.807254361,0.611511747
DBN___147,0.066387519,0,0,0.00180848,0.057972243,0.524819207,0,0,0,0,0.177946371,0,0.08063155,0,0,0,0,0.001717868,0,0.051136293,0.014700907,0.02,0.001,0.415996778,0.918416226
D_F_A_60,0.029505919,0,0,0,0.056139789,0.139275406,0,0,0,0,0.085389022,0,0.646780528,0.01747738,0,0,0,0.005959841,0,0,0,0.02,0,0.836928227,0.590204096
BN___58,0.027334307,0.001099472,0,0.006638127,0.009125878,0.016757723,0,0,0,0,0.039074438,0,0.852919128,0.011102453,0,0,0,0.000462732,0.024009375,0,0,0.01,0,0.830588095,0.561679085
DBN_M_Y_149,0.038165623,0,0.000819643,0,0,0.517919177,0.005379528,0,0,0,0.229255118,0,0.150147508,0,0,0.004923319,0,0.001610798,0,0.014625231,0.030688371,0.01,0.003,0.341234629,0.963057028
D_F_O_59,0.076547076,0,0.000838394,0.028319529,0.132804537,0.192493017,0.011065366,0,0,0,0.056201748,0,0.482190265,0.006347516,0,0,0,0,0.013192552,0,0,0,0,0.720765217,0.721067789
DBN___148,0.357825698,0,0,0.012331511,0,0.512367076,0,0,0,0,0,0.063396738,0.019598845,0.012659735,0,0,0,0.007046301,0.010725912,0,0.004048185,0,0.402,0.031079977,1.129114749
