Samples,Anti,Condition,Study,Batch,Type,Sex,Age,Beads,Density,FACS,2step
SRR7702555,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702556,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702557,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702558,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702559,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702560,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702561,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702562,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702563,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702564,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702565,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702566,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702567,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702568,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702569,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702570,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702571,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702572,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702573,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702574,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702575,E,BN,SRP158127,2,P,,,1,0,0,0
SRR7702576,E,BN,SRP158127,2,P,,,1,0,0,0
SRR8315473,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315474,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315475,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315476,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315477,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315478,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315479,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315480,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315481,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315482,,BN,SRP173379,2,S,,,1,0,0,0
SRR8315483,,BN,SRP173379,2,S,,,1,0,0,0
SRR13274555,,BN,SRP298509,2,P,F,64,1,0,0,0
SRR13274556,,BN,SRP298509,2,P,M,65,1,0,0,0
SRR13274557,,BN,SRP298509,2,P,M,72,1,0,0,0
SRR14416593,E,BN,SRP318390,2,P,,,1,0,0,0
SRR14416594,E,BN,SRP318390,2,P,,,1,0,0,0
SRR14416595,E,BN,SRP318390,2,P,,,1,0,0,0
SRR7506760,,BN,SRP152983,2,S,F,40,1,0,0,0
SRR7506761,,BN,SRP152983,2,S,F,40,1,0,0,0
SRR7506762,,BN,SRP152983,2,S,F,57,1,0,0,0
SRR7506763,,BN,SRP152983,2,S,F,57,1,0,0,0
SRR7506774,,BN,SRP152983,2,S,M,35,1,0,0,0
SRR7506775,,BN,SRP152983,2,S,M,35,1,0,0,0
SRR7506776,,BN,SRP152983,2,S,F,26,1,0,0,0
SRR7506777,,BN,SRP152983,2,S,F,26,1,0,0,0
SRR7506778,,BN,SRP152983,2,S,M,43,1,0,0,0
SRR7506779,,BN,SRP152983,2,S,M,43,1,0,0,0
SRR21046595,E,BN,SRP392095,2,S,,,1,0,0,0
SRR21046594,E,BN,SRP392095,2,S,,,1,0,0,0
SRR21046593,E,BN,SRP392095,2,S,,,1,0,0,0
SRR21046592,E,BN,SRP392095,2,S,,,1,0,0,0
SRR21046591,E,BN,SRP392095,2,S,,,1,0,0,0
SRR21046590,E,BN,SRP392095,2,S,,,1,0,0,0
SRR15427802,,BN,SRP332286,2,S,,,1,0,0,0
SRR15427803,,BN,SRP332286,2,S,,,1,0,0,0
SRR15427804,,BN,SRP332286,2,S,,,1,0,0,0
SRR5892512,C,D,SRP114762,1,S,F,58,0,1,0,0
SRR5892513,C,D,SRP114762,1,S,F,42,0,1,0,0
SRR5892514,C,D,SRP114762,1,S,F,27,0,1,0,0
SRR5892515,C,D,SRP114762,1,S,M,38,0,1,0,0
SRR5892516,C,D,SRP114762,1,S,M,52,0,1,0,0
SRR5892517,C,D,SRP114762,1,S,F,48,0,1,0,0
SRR5892518,C,D,SRP114762,1,S,F,55,0,1,0,0
SRR5892519,C,D,SRP114762,1,S,F,35,0,1,0,0
SRR5892520,C,D,SRP114762,1,S,M,40,0,1,0,0
SRR7526226,,D,SRP153925,1,S,,,0,1,0,0
SRR10036372,,D,SRP219645,1,S,,,0,1,0,0
SRR10036373,,D,SRP219645,1,S,,,0,1,0,0
SRR10036374,,D,SRP219645,1,S,,,0,1,0,0
SRR10036375,,D,SRP219645,1,S,,,0,1,0,0
SRR10036376,,D,SRP219645,1,S,,,0,1,0,0
SRR10036377,,D,SRP219645,1,S,,,0,1,0,0
SRR11077449,E,D,SRP248938,1,S,M,,0,1,0,0
SRR11077450,E,D,SRP248938,1,S,M,,0,1,0,0
SRR11077451,E,D,SRP248938,1,S,M,,0,1,0,0
SRR11077452,E,D,SRP248938,1,S,M,,0,1,0,0
SRR11077453,E,D,SRP248938,1,S,M,,0,1,0,0
SRR11077454,E,D,SRP248938,1,S,M,,0,1,0,0
SRR11077455,E,D,SRP248938,1,S,M,,0,1,0,0
SRR11077456,E,D,SRP248938,1,S,F,,0,1,0,0
SRR11077457,E,D,SRP248938,1,S,F,,0,1,0,0
SRR11077458,E,D,SRP248938,1,S,F,,0,1,0,0
SRR11077459,E,D,SRP248938,1,S,F,,0,1,0,0
SRR11077460,E,D,SRP248938,1,S,F,,0,1,0,0
SRR11077461,E,D,SRP248938,1,S,F,,0,1,0,0
SRR11077462,E,D,SRP248938,1,S,F,,0,1,0,0
SRR11826696,,D,SRP262646,1,S,,,0,1,0,0
SRR11826697,,D,SRP262646,1,S,,,0,1,0,0
SRR11826698,,D,SRP262646,1,S,,,0,1,0,0
SRR11826699,,D,SRP262646,1,S,,,0,1,0,0
SRR11826700,,D,SRP262646,1,S,,,0,1,0,0
SRR11826701,,D,SRP262646,1,S,,,0,1,0,0
SRR12136544,E,D,SRP269787,1,P,,,0,1,0,0
SRR12136545,E,D,SRP269787,1,P,,,0,1,0,0
SRR12136546,E,D,SRP269787,1,P,,,0,1,0,0
SRR553460,H,D,SRP015360,1,S,M,30,0,1,0,0
SRR553463,H,D,SRP015360,1,S,M,58,0,1,0,0
SRR1518956,,D,SRP044593,1,S,,,0,1,0,0
SRR1518957,,D,SRP044593,1,S,,,0,1,0,0
SRR1518958,,D,SRP044593,1,S,,,0,1,0,0
SRR1518959,,D,SRP044593,1,S,,,0,1,0,0
SRR6255419,,D,SRP123611,1,S,F,36,0,1,0,0
SRR6255439,,D,SRP123611,1,S,M,51,0,1,0,0
SRR6255440,,D,SRP123611,1,S,F,23,0,1,0,0
SRR6255441,,D,SRP123611,1,S,M,55,0,1,0,0
SRR15082719,,D,SRP327628,1,S,M,,0,1,0,0
SRR15082720,,D,SRP327628,1,S,M,,0,1,0,0
SRR15082721,,D,SRP327628,1,S,M,,0,1,0,0
SRR15082722,,D,SRP327628,1,S,F,,0,1,0,0
SRR15082723,,D,SRP327628,1,S,M,,0,1,0,0
SRR1915568,C,D,SRP056159,1,P,M,,0,1,0,0
SRR1915569,C,D,SRP056159,1,P,M,,0,1,0,0
SRR1915570,C,D,SRP056159,1,P,M,,0,1,0,0
SRR19621285,,D,SRP379573,1,P,M,46,0,1,0,0
SRR19621284,,D,SRP379573,1,P,M,73,0,1,0,0
SRR19621282,,D,SRP379573,1,P,M,50,0,1,0,0
SRR19621281,,D,SRP379573,1,P,M,32,0,1,0,0
SRR19621277,,D,SRP379573,1,P,M,36,0,1,0,0
SRR19621278,,D,SRP379573,1,P,M,36,0,1,0,0
SRR19621279,,D,SRP379573,1,P,M,24,0,1,0,0
SRR19621283,,D,SRP379573,1,P,M,43,0,1,0,0
SRR19621276,,D,SRP379573,1,P,F,40,0,1,0,0
SRR19621280,,D,SRP379573,1,P,F,30,0,1,0,0
SRR14200228,,D,SRP314249,1,P,,,0,1,0,0
SRR14200229,,D,SRP314249,1,P,,,0,1,0,0
SRR14200230,,D,SRP314249,1,P,,,0,1,0,0
SRR16490900,,D,SRP342171,1,P,,,0,1,0,0
SRR16490899,,D,SRP342171,1,P,,,0,1,0,0
SRR16490898,,D,SRP342171,1,P,,,0,1,0,0
SRR16490897,,D,SRP342171,1,P,,,0,1,0,0
SRR17713456,E,D,SRP356362,1,P,,,0,1,0,0
SRR17713455,E,D,SRP356362,1,P,,,0,1,0,0
SRR17713454,E,D,SRP356362,1,P,,,0,1,0,0
SRR17713453,E,D,SRP356362,1,P,,,0,1,0,0
SRR17713452,E,D,SRP356362,1,P,,,0,1,0,0
SRR17713451,E,D,SRP356362,1,P,,,0,1,0,0
SRR7618114,H,DBN,SRP155704,4,P,F,50,0,0,0,1
SRR7618115,H,DBN,SRP155704,4,P,F,34,0,0,0,1
SRR7618116,H,DBN,SRP155704,4,P,F,44,0,0,0,1
SRR7618117,H,DBN,SRP155704,4,P,F,33,0,0,0,1
SRR8591517,,DBN,SRP186278,4,S,,,0,0,0,1
SRR8591518,,DBN,SRP186278,4,S,,,0,0,0,1
SRR10106400,,DBN,SRP221489,4,S,,,0,0,0,1
SRR10106404,,DBN,SRP221489,4,S,,,0,0,0,1
SRR10106408,,DBN,SRP221489,4,S,,,0,0,0,1
SRR10106412,,DBN,SRP221489,4,S,,,0,0,0,1
SRR11053245,E,DBN,SRP247967,4,P,M,21,0,0,0,1
SRR11053246,E,DBN,SRP247967,4,P,F,23,0,0,0,1
SRR11053247,E,DBN,SRP247967,4,P,F,33,0,0,0,1
SRR11053248,E,DBN,SRP247967,4,P,M,42,0,0,0,1
SRR11053249,E,DBN,SRP247967,4,P,F,22,0,0,0,1
SRR11053250,E,DBN,SRP247967,4,P,M,24,0,0,0,1
SRR11053251,E,DBN,SRP247967,4,P,F,23,0,0,0,1
SRR11053252,E,DBN,SRP247967,4,P,M,25,0,0,0,1
SRR11053253,E,DBN,SRP247967,4,P,M,62,0,0,0,1
SRR11053254,E,DBN,SRP247967,4,P,F,42,0,0,0,1
SRR11053255,E,DBN,SRP247967,4,P,M,46,0,0,0,1
SRR11053256,E,DBN,SRP247967,4,P,M,23,0,0,0,1
SRR11053257,E,DBN,SRP247967,4,P,F,38,0,0,0,1
SRR11053258,E,DBN,SRP247967,4,P,M,49,0,0,0,1
SRR11053259,E,DBN,SRP247967,4,P,F,43,0,0,0,1
SRR11053260,E,DBN,SRP247967,4,P,F,61,0,0,0,1
SRR11053261,E,DBN,SRP247967,4,P,M,23,0,0,0,1
SRR11053262,E,DBN,SRP247967,4,P,F,47,0,0,0,1
SRR11053263,E,DBN,SRP247967,4,P,M,39,0,0,0,1
SRR11053264,E,DBN,SRP247967,4,P,F,40,0,0,0,1
SRR13005731,E,DBP,SRP291571,4,P,F,,0,0,0,1
SRR13005732,E,DBP,SRP291571,4,P,F,,0,0,0,1
SRR13005733,E,DBP,SRP291571,4,P,M,,0,0,0,1
SRR13005734,E,DBP,SRP291571,4,P,M,,0,0,0,1
SRR13005735,E,DBP,SRP291571,4,P,M,,0,0,0,1
SRR1740046,E,DBP,SRP051688,4,P,,,0,0,0,1
SRR1740074,E,DBP,SRP051688,4,P,,,0,0,0,1
SRR10342787,,DBP,SRP226877,4,S,,,0,0,0,1
SRR10342791,,DBP,SRP226877,4,S,,,0,0,0,1
SRR10342792,,DBP,SRP226877,4,S,,,0,0,0,1
SRR16465807,,DBP,SRP341905,4,P,M,28,0,0,0,1
SRR16465808,,DBP,SRP341905,4,P,F,25,0,0,0,1
SRR16465809,,DBP,SRP341905,4,P,F,31,0,0,0,1
SRR5984243,H,FACS,SRP116312,3,S,,,0,0,1,0
SRR5984244,H,FACS,SRP116312,3,S,,,0,0,1,0
SRR5984245,H,FACS,SRP116312,3,S,,,0,0,1,0
